Domain,Testing Criteria,Key Considerations for Design ,Example response Design,Tailored Procedure - Implementation / Evidence insepcted,Key Considerations for Implementation ,Example Response implementation,Best Practise
,How the control operator follows up on differences or exceptions noted during the testing or processing of changes for promotion or agrees with appropriate stakeholders that exception(s) is not critical.,1. Testing exceptions or variances should be investigated and resolved. Prior to proceeding testing should be reperformed to ensure the risk associated with previous failures is mitigated. ,"Should any variances or failures occur during testing, these must be fully investigated by the application support to team to identify the potential impact of such failure. ",Inspect the test script and testing sign off related to the change. Ensure that any variances are resolved prior to the sign off and implementation of the change. ,"1. For the sample one, validate that any exceptions noted are appropriately resolved. 

2. if there are failures or varainces noted in testing, obtain documentation to support management mitigating the risk and successfully passing testing again.","For the sample of one change ABC123, PwC inspected the test script and noted that there were no variances noted in testing performed across the UAT and SIT. The testing was approved by Mr Smith (Application Support Lead) on the XX/XX/XX and approved for promotion appropriately. ",
Segregation of duties,"The process in place to ensure that changes are promoted to production by a person other than the developer, or if applicable, access control mechanisms in place (e.g., use of firefighter/elevated accounts) to allow developers temporary access to production in the event of an emergency.","1. The environments should be segregated
 2. The developer of a change should be different from the implementer of the change","With a small application support team, it is not possbible to fully segregate access to development, test and production. The development engineerrs do not have access to admin accounts in the production application environment. 
 
 The change enablement policy sets out protocols to be applied ensuring that the individual responsible from development is different from the people responsible for testing the change, approving and implementing in production.",Inspect / Observe specific permissions that grant this permission and the users granted this permission. Compare to a relevant organisation chart or other to validate appropriateness. If performed by a service organisation / third party understand how this is segregated and if covered by relevant reporting or monitoring with the third party.,1. The developer of a change should be different from the implementer of the change,There is natural segregation of duties for third party developed changes as these are promoted by management not the developer. For configuration changes these are made by IT who are distinct from the testing team and also the business owner who performs testing. The CAB approve all changes made.,
,The approval for promotion in accordance with agreed upon policies and/or procedures.,"1. Approval is provided in line with policy requirements depending on the complexity and risk associated with the change. 

2. Change is only promoted once approval has been provided","The level of approval requirement needed for each type of change is set out in the change enablement policy. 

 - Approval to initiate the development process is provided by the change advisory board
- All changes require approval from the process owner in the business, along with sign offf from the change advisorry board.",Inspect approval for promotion from respective approvers ensuring that this is date and timestamped prior to the implementation date of the change.,1. Approval should be provided by an appropriate individual prior the the implementation. ,"For the change sampled under ticket ABC123, we confirmed through inspection the following:
- Final approval to deploy the change provided by the CAB on 16th July. 
- Change implemented in production enviroment on 17th July. 
",
Control operation,The period for which the control has been in operation and the frequency of its operation.,"1. Identify whether its been in operation for the full year
2. Identify the frequency of the control","The control has been in place for the full period subject to audit.

Controls around change testing and approval are transactional - expected to operate for each change implemented on relevant systems",N.A.,N.A.,N.A.,
,The appropriateness of the person(s) performing the control(s).,"1. Document the control owner and role
2. Assess the individuals position to operate the control, accounting for their position, experience and use of the system within the business function.","Mr Browning (CFO) is an appropriate individual to operate the control on an ongoing basis as the XX system is the primary fiancial consolidation system within the IT environment. Therefore Mr Browning has sufficient knowledge, experience and visibility to operate the control on an ongoing basis. ",N.A.,N.A.,N.A.,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
